,longitude,latitude,time,B8,B4,B5,B11,B9,B1,SR_n2,SR_N,TBVI1,NDWI,NDVI_G,sys_index,P,K,OC,N,pH
0,74.93472113963392,33.80059478521579,1613454580078,,,,,,,,,,,,0,,,,,
1,74.80850784221512,33.800864279801026,1613454580078,,,,,,,,,,,,1,,,,,
2,74.93552962338963,33.800864279801026,1613454580078,1376.0,1136.0,1374.0,2015.0,1740.0,996.0,1.176068376068376,1.3128249566724437,0.5435126582278481,-0.08091123330714847,0.12849162011173185,2,25.448950420507526,269.0340613957322,0.5293478104379272,273.9469354908162,7.063187812077141
3,74.93579911797487,33.80041512215897,1613454580078,,,,,,,,,,,,3,,,,,
4,74.93561945491804,33.800864279801026,1613454580078,,,,,,,,,,,,4,,,,,
5,74.93588894950328,33.800684616744206,1613454580078,2328.0,1390.0,1729.0,2462.0,1575.0,1013.0,1.7962962962962963,1.955105633802817,0.6034904013961606,-0.2847682119205298,0.2630082456639181,5,18.354490981709965,174.24159208553027,0.4365737113801267,226.22155109002088,7.616843207714096
6,74.93579911797487,33.80059478521579,1613454580078,1860.0,1406.0,1445.0,2208.0,1575.0,1013.0,1.3191489361702127,1.4505494505494505,0.5314453843324751,-0.13761467889908258,0.13443830570902393,6,23.341453151219334,245.30540580599074,0.5258187288762757,229.03402112031486,7.4741423135171
7,74.93526012880439,33.800864279801026,1613454580078,1958.0,1628.0,1792.0,2415.0,1740.0,996.0,1.3337874659400546,1.547581903276131,0.58295380611581,-0.14302393461762988,0.14947856315179606,7,16.722872684165157,216.68863619337336,0.23067264963556167,204.4589046261238,7.759714834877374
8,74.9353499603328,33.80104394285785,1613454580078,2120.0,1588.0,1731.0,2528.0,1740.0,996.0,1.5451895043731778,1.7,0.5946410168327035,-0.21420389461626574,0.1876850207223209,8,19.088457906648838,242.3416321614864,0.18559103553143375,251.80246001131815,7.741216832357558
9,74.93606861256009,33.80077444827262,1613454580078,,,,,,,,,,,,9,,,,,
10,74.9353499603328,33.80095411132944,1613454580078,1906.0,1466.0,1731.0,2528.0,1740.0,996.0,1.4913928012519562,1.7443478260869565,0.600833044081916,-0.1972361809045226,0.22168087697929353,10,19.784545474269542,221.66671231801178,0.196382656808804,242.57487634002698,7.729796297159078
11,74.93579911797487,33.80077444827262,1613454580078,1938.0,1438.0,1279.0,1900.0,1575.0,1013.0,1.4002890173410405,1.2766295707472177,0.5041387465510445,-0.16676700782661047,0.07424749163879599,11,29.14530596143707,245.75893026670911,0.6319736495526844,242.49140681621495,7.234604758318736
12,74.93588894950328,33.80041512215897,1613454580078,,,,,,,,,,,,12,,,,,
13,74.93588894950328,33.80059478521579,1613454580078,2236.0,1492.0,1729.0,2462.0,1575.0,1013.0,1.6109510086455332,1.8086319218241043,0.5847142374027731,-0.23399558498896247,0.23081185924078693,13,20.78015362485889,189.61385966732306,0.2513404123616818,247.0477997373455,7.651977176527109
14,74.73152222236608,33.801133774386265,1613454580078,,,,,,,,,,,,14,,,,,
15,74.9353499603328,33.80059478521579,1613454580078,2044.0,1662.0,1797.0,2517.0,1740.0,996.0,1.2775,1.4726507713884993,0.5575550729134346,-0.12184412733260154,0.13513513513513514,15,16.266946241902826,217.7497798049252,0.37054476132180647,204.7837024874559,7.859913776588224
16,74.93561945491804,33.80041512215897,1613454580078,1946.0,1636.0,1655.0,2370.0,1814.0,1089.0,1.2685788787483703,1.4176737160120847,0.5555555555555556,-0.11839080459770115,0.10055702140134858,16,25.554931860416314,219.63610483024294,0.39139077647488163,204.2342691541226,7.728560224172042
17,74.93579911797487,33.800864279801026,1613454580078,1534.0,1224.0,1279.0,1900.0,1575.0,1013.0,1.1246334310850439,1.2746031746031745,0.5037416305632139,-0.05866114561766736,0.08148148148148149,17,23.633678506117118,211.37288617202256,0.757410611614596,245.86062449483728,7.125083124448142
18,74.93561945491804,33.800864279801026,1613454580078,,,,,,,,,,,,18,,,,,
19,74.93570928644645,33.80077444827262,1613454580078,,,,,,,,,,,,19,,,,,
20,74.80850784221512,33.80104394285785,1613454580078,,,,,,,,,,,,20,,,,,
21,74.93579911797487,33.80059478521579,1613454580078,1860.0,1406.0,1445.0,2208.0,1575.0,1013.0,1.3191489361702127,1.4505494505494505,0.5314453843324751,-0.13761467889908258,0.13443830570902393,21,23.341453151219334,245.30540580599074,0.5258187288762757,229.03402112031486,7.4741423135171
22,74.93561945491804,33.80050495368738,1613454580078,1888.0,1438.0,1655.0,2370.0,1814.0,1089.0,1.2913816689466484,1.4416282642089093,0.5596888738586405,-0.1271641791044776,0.12428870919436957,22,24.754084402801357,231.75174209387833,0.340172670397372,208.9817678554213,7.599214172931139
23,74.93588894950328,33.80059478521579,1613454580078,2236.0,1492.0,1729.0,2462.0,1575.0,1013.0,1.6109510086455332,1.8086319218241043,0.5847142374027731,-0.23399558498896247,0.23081185924078693,23,20.78015362485889,189.61385966732306,0.2513404123616818,247.0477997373455,7.651977176527109
24,74.93588894950328,33.80059478521579,1613454580078,2236.0,1492.0,1729.0,2462.0,1575.0,1013.0,1.6109510086455332,1.8086319218241043,0.5847142374027731,-0.23399558498896247,0.23081185924078693,24,20.78015362485889,189.61385966732306,0.2513404123616818,247.0477997373455,7.651977176527109
25,74.93588894950328,33.80041512215897,1613454580078,,,,,,,,,,,,25,,,,,
26,74.93597878103168,33.80050495368738,1613454580078,,,,,,,,,,,,26,,,,,
27,74.93588894950328,33.80095411132944,1613454580078,,,,,,,,,,,,27,,,,,
28,74.93526012880439,33.80059478521579,1613454580078,1994.0,1558.0,1797.0,2517.0,1740.0,996.0,1.404225352112676,1.6719745222929936,0.5886013756960367,-0.1681312243702402,0.19318181818181818,28,18.44092528950812,203.28148166509473,0.19780113646280845,197.13410181739744,7.846295387466602
29,74.9353499603328,33.800864279801026,1613454580078,1874.0,1498.0,1792.0,2415.0,1740.0,996.0,1.348201438848921,1.5746031746031746,0.5871559633027523,-0.1482843137254902,0.17605216360403084,29,18.600055551866365,210.40951804100612,0.20266949675469204,220.70891788882602,7.738668491273985
30,74.93588894950328,33.80104394285785,1613454580078,1288.0,1038.0,1263.0,1875.0,1575.0,1013.0,1.2105263157894737,1.4789311408016443,0.5648479427549195,-0.09523809523809523,0.14982021574111068,30,20.59129131629629,266.7640209624934,0.43035908622485786,282.22114532787566,7.030291631955948
