B8,B4,B5,B11,B9,B1,SR_n2,SR_N,TBVI1,NDWI,NDVI_G,P,N,OC,K,pH
3179.0,2457.0,2685.0,3226.0,2311.0,3372.0,1.36613665663945,1.3739067055393586,0.4945662184564377,-0.1547402833272793,0.2366737739872068,,,,,
2477.0,1444.0,1491.0,1927.0,953.0,1496.0,1.7225312934631432,2.027310924369748,0.5107913669064749,-0.265389527458493,0.3362566351257789,25.00,368.00,0.55,124.00,7.30
2292.0,1707.0,1890.0,1540.0,1562.0,2414.0,1.2971137521222411,1.384536610343062,0.4918032786885246,-0.1293422025129342,0.2095728025050324,21.00,326.00,0.52,125.00,7.40
2292.0,1707.0,1890.0,1540.0,1562.0,2414.0,1.2971137521222411,1.384536610343062,0.4918032786885246,-0.1293422025129342,0.2095728025050324,21.00,320.00,0.51,121.00,7.24
4156.0,3281.0,3484.0,2179.0,2902.0,3694.0,1.2578692493946728,1.2490706319702602,0.4990689013035382,-0.1142091152815013,0.1386861313868613,22.00,354.00,0.55,121.00,7.22
2479.0,1792.0,1960.0,1548.0,1422.0,2300.0,1.3158174097664543,1.3389245189935866,0.491597692500627,-0.1363740545496218,0.1805132666376685,23.00,330.00,0.52,121.00,6.94
2479.0,1792.0,1960.0,1548.0,1422.0,2300.0,1.3158174097664543,1.3389245189935866,0.491597692500627,-0.1363740545496218,0.1805132666376685,24.00,360.00,0.55,121.00,7.10
4156.0,3281.0,3484.0,2179.0,2902.0,3694.0,1.2578692493946728,1.2490706319702602,0.4990689013035382,-0.1142091152815013,0.1386861313868613,22.00,364.00,0.55,120.00,6.98
4253.0,3439.0,3643.0,2234.0,2976.0,3761.0,1.2331110466801969,1.20181718061674,0.5007560137457044,-0.1043884705271358,0.1172254927054005,24.00,348.00,0.54,120.00,7.12
2479.0,1792.0,1960.0,1548.0,1422.0,2300.0,1.3158174097664543,1.3389245189935866,0.491597692500627,-0.1363740545496218,0.1805132666376685,17.00,318.00,0.52,121.00,7.35
2479.0,1792.0,1960.0,1548.0,1422.0,2300.0,1.3158174097664543,1.3389245189935866,0.491597692500627,-0.1363740545496218,0.1805132666376685,24.00,385.00,0.56,123.00,7.20
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,18.00,361.00,0.55,116.00,6.96
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,22.00,350.00,0.54,121.00,7.21
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,22.00,327.00,0.52,120.00,7.10
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,24.00,356.00,0.54,123.00,7.40
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,22.00,326.00,0.52,120.00,7.31
2395.0,1484.0,1663.0,1374.0,1257.0,2089.0,1.4675245098039216,1.4115405552531302,0.4751428571428571,-0.1894710702756394,0.2274556213017752,21.00,350.00,0.54,122.00,7.18
